kid_name,activity,calendar_source,time,duration,frequency,days_of_week,start_date,end_date,address,pickup_driver,return_driver
All,🇮🇱 Yom HaAtzma’ut,Jewish,00:00:00,0,one-time,"[""wednesday""]",2026-04-22,2026-04-22,Location TBD,N/A,N/A
All,✡️ Pesach Sheni,Jewish,00:00:00,0,one-time,"[""friday""]",2026-05-01,2026-05-01,Location TBD,N/A,N/A
All,🔥 Lag BaOmer,Jewish,00:00:00,0,one-time,"[""tuesday""]",2026-05-05,2026-05-05,Location TBD,N/A,N/A
All,🇮🇱 Yom Yerushalayim,Jewish,00:00:00,0,one-time,"[""friday""]",2026-05-15,2026-05-15,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Sivan,Jewish,00:00:00,0,one-time,"[""sunday""]",2026-05-17,2026-05-17,Location TBD,N/A,N/A
All,⛰️🌸 Erev Shavuot,Jewish,00:00:00,0,one-time,"[""thursday""]",2026-05-21,2026-05-21,Location TBD,N/A,N/A
All,⛰️🌸 Shavuot I,Jewish,00:00:00,0,one-time,"[""friday""]",2026-05-22,2026-05-22,Location TBD,N/A,N/A
All,⛰️🌸 Shavuot II,Jewish,00:00:00,0,one-time,"[""saturday""]",2026-05-23,2026-05-23,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Tamuz,Jewish,00:00:00,0,one-time,"[""monday""]",2026-06-15,2026-06-15,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Tamuz,Jewish,00:00:00,0,one-time,"[""tuesday""]",2026-06-16,2026-06-16,Location TBD,N/A,N/A
All,✡️ Tzom Tammuz,Jewish,00:00:00,0,one-time,"[""thursday""]",2026-07-02,2026-07-02,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Av,Jewish,00:00:00,0,one-time,"[""wednesday""]",2026-07-15,2026-07-15,Location TBD,N/A,N/A
All,🕍 Shabbat Chazon,Jewish,00:00:00,0,weekly,"[""saturday""]",2026-07-18,2026-07-18,Location TBD,N/A,N/A
All,✡️ Erev Tish’a B’Av,Jewish,00:00:00,0,one-time,"[""wednesday""]",2026-07-22,2026-07-22,Location TBD,N/A,N/A
All,✡️ Tish’a B’Av,Jewish,00:00:00,0,one-time,"[""thursday""]",2026-07-23,2026-07-23,Location TBD,N/A,N/A
All,🕍 Shabbat Nachamu,Jewish,00:00:00,0,weekly,"[""saturday""]",2026-07-25,2026-07-25,Location TBD,N/A,N/A
All,❤️ Tu B’Av,Jewish,00:00:00,0,one-time,"[""wednesday""]",2026-07-29,2026-07-29,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Elul,Jewish,00:00:00,0,one-time,"[""thursday""]",2026-08-13,2026-08-13,Location TBD,N/A,N/A
All,🐑 Rosh Hashana LaBehemot,Jewish,00:00:00,0,one-time,"[""friday""]",2026-08-14,2026-08-14,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Elul,Jewish,00:00:00,0,one-time,"[""friday""]",2026-08-14,2026-08-14,Location TBD,N/A,N/A
All,🕍 Leil Selichot,Jewish,00:00:00,0,one-time,"[""saturday""]",2026-09-05,2026-09-05,Location TBD,N/A,N/A
All,🍏🍯 Erev Rosh Hashana,Jewish,00:00:00,0,one-time,"[""friday""]",2026-09-11,2026-09-11,Location TBD,N/A,N/A
All,🍏🍯 Rosh Hashana 5787,Jewish,00:00:00,0,one-time,"[""saturday""]",2026-09-12,2026-09-12,Location TBD,N/A,N/A
All,🍏🍯 Rosh Hashana II,Jewish,00:00:00,0,one-time,"[""sunday""]",2026-09-13,2026-09-13,Location TBD,N/A,N/A
All,✡️ Tzom Gedaliah,Jewish,00:00:00,0,one-time,"[""monday""]",2026-09-14,2026-09-14,Location TBD,N/A,N/A
All,🕍 Shabbat Shuva,Jewish,00:00:00,0,weekly,"[""saturday""]",2026-09-19,2026-09-19,Location TBD,N/A,N/A
All,✡️ Erev Yom Kippur,Jewish,00:00:00,0,one-time,"[""sunday""]",2026-09-20,2026-09-20,Location TBD,N/A,N/A
All,✡️ Yom Kippur,Jewish,00:00:00,0,one-time,"[""monday""]",2026-09-21,2026-09-21,Location TBD,N/A,N/A
All,🌿🍋 Erev Sukkot,Jewish,00:00:00,0,one-time,"[""friday""]",2026-09-25,2026-09-25,Location TBD,N/A,N/A
All,🌿🍋 Sukkot I,Jewish,00:00:00,0,one-time,"[""saturday""]",2026-09-26,2026-09-26,Location TBD,N/A,N/A
All,🌿🍋 Sukkot II,Jewish,00:00:00,0,one-time,"[""sunday""]",2026-09-27,2026-09-27,Location TBD,N/A,N/A
All,🌿🍋 Sukkot III (CH’’M),Jewish,00:00:00,0,one-time,"[""monday""]",2026-09-28,2026-09-28,Location TBD,N/A,N/A
All,🌿🍋 Sukkot IV (CH’’M),Jewish,00:00:00,0,one-time,"[""tuesday""]",2026-09-29,2026-09-29,Location TBD,N/A,N/A
All,🌿🍋 Sukkot V (CH’’M),Jewish,00:00:00,0,one-time,"[""wednesday""]",2026-09-30,2026-09-30,Location TBD,N/A,N/A
All,🌿🍋 Sukkot VI (CH’’M),Jewish,00:00:00,0,one-time,"[""thursday""]",2026-10-01,2026-10-01,Location TBD,N/A,N/A
All,🌿🍋 Sukkot VII (Hoshana Raba),Jewish,00:00:00,0,one-time,"[""friday""]",2026-10-02,2026-10-02,Location TBD,N/A,N/A
All,✡️ Shmini Atzeret,Jewish,00:00:00,0,one-time,"[""saturday""]",2026-10-03,2026-10-03,Location TBD,N/A,N/A
All,✡️ Simchat Torah,Jewish,00:00:00,0,one-time,"[""sunday""]",2026-10-04,2026-10-04,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Cheshvan,Jewish,00:00:00,0,one-time,"[""sunday""]",2026-10-11,2026-10-11,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Cheshvan,Jewish,00:00:00,0,one-time,"[""monday""]",2026-10-12,2026-10-12,Location TBD,N/A,N/A
All,✡️ Sigd,Jewish,00:00:00,0,one-time,"[""monday""]",2026-11-09,2026-11-09,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Kislev,Jewish,00:00:00,0,one-time,"[""tuesday""]",2026-11-10,2026-11-10,Location TBD,N/A,N/A
All,🌒 Rosh Chodesh Kislev,Jewish,00:00:00,0,one-time,"[""wednesday""]",2026-11-11,2026-11-11,Location TBD,N/A,N/A
All,🕎1️⃣ Chanukah: 1 Candle,Jewish,00:00:00,0,one-time,"[""friday""]",2026-12-04,2026-12-04,Location TBD,N/A,N/A
All,🕎2️⃣ Chanukah: 2 Candles,Jewish,00:00:00,0,one-time,"[""saturday""]",2026-12-05,2026-12-05,Location TBD,N/A,N/A
All,🕎3️⃣ Chanukah: 3 Candles,Jewish,00:00:00,0,one-time,"[""sunday""]",2026-12-06,2026-12-06,Location TBD,N/A,N/A
